node_id,lon,lat,type,node_geom
cluster_3824553179_420794299,8.559294188892242,47.29262329724745,right_before_left,"LINESTRING (8.559237 47.292716, 8.559275 47.292704, 8.559272 47.292673, 8.559284999999999 47.292659, 8.559309000000001 47.292646, 8.559343 47.292634, 8.559386999999999 47.292622, 8.559361000000001 47.292568, 8.559309000000001 47.29258, 8.559272 47.292592, 8.559241999999999 47.292603, 8.559213 47.292616, 8.559177999999999 47.292631, 8.559129 47.292648, 8.559165999999999 47.2927, 8.559195000000001 47.292695, 8.559207000000001 47.292696, 8.559219000000001 47.2927, 8.559227999999999 47.292707, 8.559237 47.292716)"
60550253,8.558955130812674,47.29276002715923,priority,"LINESTRING (8.558960000000001 47.292824, 8.559034 47.292795, 8.559025 47.292778, 8.559025999999999 47.29277, 8.55903 47.292762, 8.559037 47.292755, 8.559048000000001 47.292749, 8.558996 47.292703, 8.558972000000001 47.292711, 8.558960000000001 47.292712, 8.558947999999999 47.29271, 8.558935999999999 47.292706, 8.558925 47.2927, 8.558866 47.292741, 8.55889 47.292757, 8.558907 47.292769, 8.558920000000001 47.292779, 8.558930999999999 47.29279, 8.558944 47.292805, 8.558960000000001 47.292824)"
60550925,8.560609786144271,47.29234958082409,right_before_left,"LINESTRING (8.560584 47.292421, 8.560668 47.292412, 8.560667 47.292386, 8.560672 47.292375, 8.56068 47.292366, 8.560691 47.292359, 8.560706 47.292354, 8.560674000000001 47.292301, 8.560638000000001 47.292311, 8.560612000000001 47.292318, 8.560589 47.292323, 8.560567000000001 47.292328, 8.560539 47.292333, 8.560502 47.29234, 8.560525 47.292396, 8.560554 47.292394, 8.560565 47.292397, 8.560574000000001 47.292403, 8.56058 47.292411, 8.560584 47.292421)"
60548674,8.57109862663523,47.28556336429058,priority,"LINESTRING (8.571189 47.285566, 8.571183 47.285536, 8.571148000000001 47.285546, 8.571116 47.285551, 8.571087 47.285551, 8.571059999999999 47.285547, 8.571035999999999 47.285538, 8.571014999999999 47.285525, 8.571005 47.285555, 8.571028999999999 47.285569, 8.571035999999999 47.285577, 8.571040999999999 47.285586, 8.571040999999999 47.285596, 8.571039000000001 47.285606, 8.571121 47.28562, 8.571134000000001 47.285598, 8.571145 47.285589, 8.571156999999999 47.28558, 8.571172000000001 47.285573, 8.571189 47.285566)"
cluster_243089348_60549649,8.569935986560582,47.287844493253004,priority,"LINESTRING (8.570076 47.287715, 8.570001 47.287687, 8.569982 47.287703, 8.569971000000001 47.287706, 8.569958 47.287706, 8.569944 47.287704, 8.569929 47.287698, 8.569882 47.287746, 8.569896999999999 47.287774, 8.569894 47.287799, 8.569883000000001 47.287831, 8.569865999999999 47.287871, 8.569841 47.287918, 8.56992 47.287938, 8.569948 47.287889, 8.56997 47.287853, 8.569990000000001 47.287824, 8.570012 47.287795, 8.570039 47.287761, 8.570076 47.287715)"
60549650,8.569442241383719,47.288781704893,priority,"LINESTRING (8.569520000000001 47.288834, 8.569552 47.288781, 8.569523 47.288767, 8.569514 47.288758, 8.569509999999999 47.288747, 8.569511 47.288735, 8.569516 47.288721, 8.569435 47.288703, 8.569421 47.28872, 8.569412 47.288724, 8.569400999999999 47.288725, 8.569388 47.288723, 8.569374 47.288719, 8.569328000000001 47.288767, 8.569362999999999 47.288787, 8.569373000000001 47.288799, 8.569379 47.288812, 8.569380000000001 47.288826, 8.569376 47.288841, 8.569457999999999 47.288856, 8.569471 47.288838, 8.56948 47.288833, 8.569490999999999 47.288831, 8.569504999999999 47.288831, 8.569520000000001 47.288834)"
9105764085,8.567816801398907,47.28955664138421,priority,"LINESTRING (8.567800999999999 47.289583, 8.567835000000001 47.289531, 8.567830000000001 47.289529, 8.567800999999999 47.289583)"
60549652,8.568341957141284,47.28972086048107,priority,"LINESTRING (8.568427 47.289737, 8.568408 47.289681, 8.568379 47.289686, 8.568357000000001 47.289689, 8.568339 47.28969, 8.56832 47.289689, 8.568299 47.289686, 8.56827 47.28968, 8.568253 47.289737, 8.568277 47.289745, 8.568286000000001 47.289751, 8.568292 47.289758, 8.568295000000001 47.289766, 8.568296 47.289775, 8.568379999999999 47.289778, 8.568386 47.289759, 8.568393 47.289751, 8.568402000000001 47.289745, 8.568413 47.28974, 8.568427 47.289737)"
60549829,8.562303756590211,47.28794031427851,priority,"LINESTRING (8.562271000000001 47.28801, 8.562355 47.288004, 8.562358 47.287985, 8.562364000000001 47.287978, 8.562374 47.287973, 8.562386999999999 47.28797, 8.562403 47.287969, 8.562400999999999 47.287912, 8.562364000000001 47.287907, 8.562348999999999 47.287902, 8.562336999999999 47.287896, 8.562329 47.287887, 8.562322999999999 47.287876, 8.562241 47.287891, 8.562250000000001 47.287916, 8.562257000000001 47.287934, 8.562260999999999 47.28795, 8.562264000000001 47.287965, 8.562267 47.287984, 8.562271000000001 47.28801)"
233291470,8.564901137912164,47.28848281620636,priority,"LINESTRING (8.564958000000001 47.288538, 8.565 47.288488, 8.564842000000001 47.288422, 8.564795 47.28847, 8.564824 47.288487, 8.564828 47.288495, 8.564826 47.288501, 8.564817 47.288507, 8.564800999999999 47.288512, 8.564874 47.288553, 8.5649 47.288537, 8.564914 47.288533, 8.564928 47.288532, 8.564943 47.288533, 8.564958000000001 47.288538)"
